,"2017","2017","2017","2017","2017","2017","2016","2016","2016","2016","2016","2016","2015","2015","2015","2015","2015","2015","2014","2014","2014","2014","2014","2014","2013","2013","2013","2013","2013","2013","2012","2012","2012","2012","2012","2012","2011","2011","2011","2011","2011","2011","2010","2010","2010","2010","2010","2010","2009","2009","2009","2009","2009","2009","2008","2008","2008","2008","2008","2008","2007","2007","2007","2007","2007","2007","2006","2006","2006","2006","2006","2006","2005","2005","2005","2005","2005","2005","2004","2004","2004","2004","2004","2004","2003","2003","2003","2003","2003","2003","2002","2002","2002","2002","2002","2002","2001","2001","2001","2001","2001","2001","2000","2000","2000","2000","2000","2000"
,"Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using at least basic drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)"
"Country","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural"
"Afghanistan","67","96","57","","","","64","93","55","","","","62","89","52","","","","59","86","50","","","","56","83","48","","","","54","80","45","","","","51","77","43","","","","48","74","41","","","","46","70","38","","","","43","67","36","","","","41","65","34","","","","38","62","32","","","","36","59","30","","","","34","57","28","","","","32","54","26","","","","30","52","24","","","","28","49","22","","","","28","49","22","","",""
"Albania","91","92","90","70","","","91","92","90","70","","","91","92","90","70","","","91","92","90","70","","","89","92","86","68","","","88","92","83","66","","","88","93","82","64","","","88","93","82","62","","","88","93","82","60","","","88","94","82","58","","","88","94","82","56","","","88","94","82","54","","","88","95","82","53","","","88","95","82","51","","","88","95","82","49","","","88","96","82","49","","","88","96","82","49","","","88","96","82","49","",""
"Algeria","94","95","89","","","","94","95","89","","","","93","95","89","","","","93","95","88","","","","93","95","88","","","","93","95","88","","","","93","95","87","","","","92","95","87","","","","92","95","87","","","","92","95","86","","","","92","95","86","","","","91","95","85","","","","91","95","85","","","","91","95","85","","","","91","94","84","","","","90","94","84","","","","90","94","84","","","","90","94","83","","",""
"Andorra","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","",""
"Angola","56","71","27","","","","55","71","27","","","","54","70","27","","","","54","70","26","","","","53","69","26","","","","52","69","26","","","","51","68","25","","","","50","68","25","","","","50","67","25","","","","49","66","24","","","","48","66","24","","","","47","65","23","","","","46","65","23","","","","45","64","23","","","","44","63","22","","","","43","63","22","","","","42","62","22","","","","41","61","21","","",""
"Antigua and Barbuda","97","","","","","","97","","","","","","97","","","","","","97","","","","","","97","","","","","","97","","","","","","97","","","","","","97","","","","","","97","","","","","","97","","","","","","97","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","",""
"Argentina","","100","","","","","99","100","93","","","","99","100","93","","","","99","100","93","","","","99","100","93","","","","99","99","93","","","","99","99","92","","","","98","99","90","","","","98","99","89","","","","98","99","87","","","","98","99","86","","","","98","99","85","","","","97","99","83","","","","97","99","82","","","","97","99","81","","","","97","99","79","","","","96","99","78","","","","96","99","76","","",""
