,"2017","2017","2017","2017","2017","2017","2016","2016","2016","2016","2016","2016","2015","2015","2015","2015","2015","2015","2014","2014","2014","2014","2014","2014","2013","2013","2013","2013","2013","2013","2012","2012","2012","2012","2012","2012","2011","2011","2011","2011","2011","2011","2010","2010","2010","2010","2010","2010","2009","2009","2009","2009","2009","2009","2008","2008","2008","2008","2008","2008","2007","2007","2007","2007","2007","2007","2006","2006","2006","2006","2006","2006","2005","2005","2005","2005","2005","2005","2004","2004","2004","2004","2004","2004","2003","2003","2003","2003","2003","2003","2002","2002","2002","2002","2002","2002","2001","2001","2001","2001","2001","2001","2000","2000","2000","2000","2000","2000"
,"Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)","Population using safely managed sanitation services (%)"
"Country","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural"
"Afghanistan","43","62","37","","","","42","60","36","","","","41","58","35","","","","39","55","34","","","","38","53","33","","","","37","51","32","","","","35","49","31","","","","34","46","30","","","","33","44","29","","","","32","42","28","","","","30","40","27","","","","29","38","27","","","","28","36","26","","","","27","35","25","","","","26","33","24","","","","25","31","23","","","","24","30","22","","","","24","30","22","","",""
"Albania","98","98","97","40","40","39","98","98","97","40","40","39","98","98","97","40","40","39","98","98","97","40","40","39","97","98","96","40","40","39","97","98","95","39","40","38","96","98","94","39","40","38","96","98","93","39","40","37","95","98","92","38","40","37","94","98","91","38","40","36","94","98","90","38","40","36","93","98","89","38","40","36","92","97","88","38","40","36","91","97","86","38","40","36","91","97","85","38","40","37","90","97","84","38","40","37","89","97","83","38","40","37","88","97","82","39","40","38"
"Algeria","88","90","82","18","16","21","88","90","82","18","16","21","87","90","82","18","16","21","87","90","82","18","17","21","87","90","81","18","17","21","87","90","80","18","17","20","87","90","80","18","17","20","87","90","79","18","17","20","86","90","78","18","17","20","86","90","78","18","17","20","86","91","77","18","17","20","86","91","76","18","17","20","85","91","76","18","18","20","85","91","75","18","18","20","85","91","74","18","18","20","84","91","74","18","18","19","84","91","73","19","18","19","84","91","72","19","18","19"
"Andorra","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","94","94","94","100","100","100","86","86","86","100","100","100","79","79","79","100","100","100","72","72","72","100","100","100","65","65","65","100","100","100","58","58","58","100","100","100","51","51","51","100","100","100","43","43","43","100","100","100","36","36","36","100","100","100","29","29","29","100","100","100","22","22","22","100","100","100","15","15","15"
"Angola","50","64","23","","","","49","63","22","","","","47","62","21","","","","46","61","20","","","","45","60","20","","","","44","59","19","","","","42","58","18","","","","41","57","17","","","","40","56","16","","","","39","55","15","","","","37","54","14","","","","36","53","13","","","","35","52","12","","","","33","51","11","","","","32","50","10","","","","30","49","9","","","","29","49","8","","","","28","48","8","","",""
"Antigua and Barbuda","88","","","","","","88","","","","","","88","","","","","","88","","","","","","88","","","","","","87","","","","","","87","","","","","","86","","","","","","86","","","","","","86","","","","","","85","","","","","","85","","","","","","84","","","","","","84","","","","","","84","","","","","","83","","","","","","83","","","","","","82","","","","",""
"Argentina","","96","","","","","94","96","77","","","","94","96","77","","","","94","96","77","","","","94","96","77","","","","94","95","77","","","","93","95","76","","","","93","94","75","","","","92","94","75","","","","91","93","74","","","","91","93","73","","","","90","92","73","","","","90","92","72","","","","89","91","71","","","","89","91","71","","","","88","90","70","","","","88","90","69","","","","87","89","69","","",""
